_id,id,category,Subcategory,name,genericName,brand,manufacturer,dosageForm,strength,saltComposition,description,uses[0],uses[1],dosage,sideEffects,warnings,price,stock,barcode,expiry,substitutes[0],substitutes[1],substitutes[2],image,bar_code,side_effects,suitable_for,uses,tags
6a646c4cedb0bc53fabc84f1,11,Medicines,Tubes,Omnigel,Diclofenac + Linseed Oil + Methyl Salicylate + Menthol,Omnigel,Cipla Ltd,Gel,1.16% w/w,Diclofenac Diethylamine (1.16% w/w) + Menthol (5% w/w),Fast-acting topical pain relief formula for inflammation and muscle aches.,Neck pain & shoulder pain,Arthritis joint discomfort,Gently rub into affected skin 3 times daily.,"Local irritation, Dry skin",Avoid contact with eyes and mucous membranes.,125,110,51111407592,12/16/2026,Volini Gel,Moov Ointment,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWS9jFnFc_WaMFkGpe8gNNTh_SZ1ey1GL562JGV0qlhg&s=10,,,,,
6a646c4cedb0bc53fabc84f2,12,Medicines,Tubes,Moov Ointment,Diclofenac + Linseed Oil + Methyl Salicylate + Menthol,Moov,Reckitt Benckiser,Ointment,1.16% w/w,Diclofenac Diethylamine (1.16% w/w) + Menthol (5% w/w),Ayurvedic and specialized pain relief ointment for muscular aches.,Lower backache,Muscular strain,Massage gently over affected site.,"Skin tingling, Mild warmth",Wash hands thoroughly after application.,135,95,8.90E+12,7/4/2028,Volini Gel,Omnigel,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-s8KyQ--9ocvTB_q8R1z4FPEYNRlThBnSf_ie5LSXkw&s=10,,,,,
6a646c4cedb0bc53fabc84f3,13,Medicines,Tubes,Betnovate N,Betamethasone + Neomycin,Betnovate,GlaxoSmithKline,Cream,0.1% / 0.5%,Betamethasone Valerate (0.1%) + Neomycin Sulphate (0.5%),Topical corticosteroid combined with antibacterial agent for skin conditions.,Eczema and psoriasis,Infected inflammatory dermatoses,Apply sparingly once or twice daily.,"Skin thinning, Burning sensation, Irritation",Do not use continuously for more than 2 weeks without supervision.,52,140,8.90E+12,3/3/2028,Tenovate N,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUuPLuZblqOvBxinSnsbo2Z8IciwzYwJvwD_s6BY9jLQ&s=10,,,,,
6a646c4cedb0bc53fabc84f4,14,Medicines,Tubes,Tenovate N,Betamethasone + Neomycin,Tenovate,GSK India,Cream,0.1% / 0.5%,Betamethasone Valerate (0.1%) + Neomycin Sulphate (0.5%),Steroid and antibiotic cream for bacterial skin lesions.,Allergic skin disorders,Bacterial dermatitis,Apply thin film to affected region.,"Dryness, Folliculitis",Not for fungal skin infections.,48,85,8.90E+12,11/16/2027,Betnovate N,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl7h8iApGoC5tm1UuAF6gkoqkTMsuyPmAASUYC0RMb3w&s=10,,,,,
6a646c4cedb0bc53fabc84f5,15,Medicines,Tubes,Quadriderm RF,Beclomethasone + Clotrimazole + Neomycin,Quadriderm,Fulford India Ltd,Cream,Multi-active,Beclomethasone Dipropionate (0.025%) + Clotrimazole (1%) + Neomycin (0.5%),Broad spectrum antibacterial and antifungal topical treatment.,Mixed skin infections,Fungal dermatosis with inflammation,Apply to lesion twice daily.,"Local burning, Erythema",Avoid prolonged usage on facial skin.,105,70,8.90E+12,6/2/2027,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFuHL7t6jI-EDxwJjWrXa_qN71BNoiKU1U3WXF3rBj8g&s,,,,,
6a646c4cedb0bc53fabc84f6,16,Medicines,Tubes,Candid B,Clotrimazole + Beclomethasone,Candid,Glenmark Pharmaceuticals,Cream,1% / 0.025%,Clotrimazole (1% w/w) + Beclomethasone Dipropionate (0.025% w/w),Antifungal cream combined with anti-inflammatory corticosteroid.,Ringworm and athlete's foot,Fungal diaper rash & jock itch,Apply twice daily to affected area.,"Itching, Blistering, Skin peeling",Discontinue if severe hypersensitivity occurs.,118,0,8.90E+12,5/18/2028,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRDKaKLAezP0nkUZ7Ieo1tU4YTY2pIKG2Ca5wL8rdyLQ&s=10,,,,,
6a646c4cedb0bc53fabc84f7,17,Medicines,Tubes,Panderm Plus,Clobetasol + Neomycin + Miconazole,Panderm,Macleods Pharmaceuticals,Cream,Combination,Clobetasol (0.05%) + Neomycin (0.5%) + Miconazole (2%),Triple action dermatological cream for complex skin allergies.,Inflammatory fungal infection,Bacterial eczema,Apply sparingly as directed.,"Skin irritation, Hypertrichosis",Do not cover with occlusive dressing.,95,105,8.90E+12,9/14/2029,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8ygS9oSSgVcreuFBjjJol2-G1r9lz7QaZfIlil8wUnA&s=10,,,,,
6a646c4cedb0bc53fabc84f8,18,Medicines,Tubes,Soframycin,Framycetin Sulphate,Soframycin,Sanofi India Ltd,Cream,1% w/w,Framycetin Sulphate (1% w/w),Topical aminoglycoside antibiotic cream for superficial bacterial skin infections.,Minor cuts & superficial burns,Infected wounds and ulcers,Apply 1-2 times daily to lesion.,"Local contact dermatitis, Itching",Avoid prolonged use on large body surface area.,56,210,8.90E+12,11/15/1930,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVQglvb0ASI99tVeJhq79c4XnWfBJOrhCpRLOdpavbhA&s=10,,,,,
6a646c4cedb0bc53fabc84f9,19,Medicines,Spray,Otrivin Adult,Xylometazoline,Otrivin,GSK Consumer Healthcare,Nasal Spray,0.1% w/v,Xylometazoline Hydrochloride (0.1% w/v),Fast-acting nasal decongestant spray that clears blocked nose in 2 minutes.,Nasal congestion due to cold,Sinusitis relief,1 spray into each nostril 2-3 times daily.,"Nasal dryness, Burning sensation in nose",Do not use for more than 7 consecutive days.,110,160,8.90E+12,5/1/1930,Xymex Nasal Spray,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAGOoeMp4sYyoREnxcu4UP8Phg-2KP_YZexFYAS547-Q&s,,,,,
6a646c4cedb0bc53fabc84fa,20,Medicines,Spray,Xymex Nasal Spray,Xylometazoline,Xymex,Cipla Ltd,Nasal Spray,0.1% w/v,Xylometazoline Hydrochloride (0.1% w/v),"Relieves nasal blockage caused by allergies, colds, or sinus infections.",Allergic rhinitis congestion,Paranasal sinus passage clearance,1 puff in each nostril twice daily.,"Headache, Transient nasal irritation",Avoid in patients with narrow-angle glaucoma.,98,0,8.90E+12,9/19/2027,Otrivin Adult,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn10g7eUsrSQHk507qsRAlVkXgLg4Ciu7ylZ-y5V9Mzw&s=10,,,,,
6a646c4cedb0bc53fabc84fb,21,Medicines,Spray,Nasivion Adult,Oxymetazoline,Nasivion,Procter & Gamble,Nasal Spray,0.05% w/v,Oxymetazoline Hydrochloride (0.05% w/v),Provides up to 12 hours of long-lasting nasal decongestion.,Blocked nose from flu,Eustachian tube congestion,1-2 sprays per nostril every 12 hours.,"Rebound congestion (if overused), Sneezing",Strictly restrict continuous use to under 5 days.,105,140,8.90E+12,1/17/2027,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnzZb9tWF0N9WW3Koo7M55TjEGhg7Dzxa08F7aVqAZmA&s=10,,,,,
6a646c4cedb0bc53fabc84fc,22,Medicines,Spray,Flomist Nasal Spray,Fluticasone Propionate,Flomist,Cipla Ltd,Nasal Spray,50mcg/actuation,Fluticasone Propionate (50mcg),Corticosteroid nasal spray for daily management of perennial allergic rhinitis.,Seasonal allergies & sneezing,Nasal itching & watery eyes,2 sprays in each nostril once daily in the morning.,"Epistaxis (nosebleeds), Throat irritation",Shake well before use. Consistent daily use required for full effect.,380,75,8.90E+12,4/9/2027,Furonase Nasal Spray,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRokt-GYLwQ-qiQ3MzcA9gUHY-muJdGU5IbW4b0iNYOpA&s=10,,,,,
6a646c4cedb0bc53fabc84fd,23,Medicines,Spray,Furonase Nasal Spray,Fluticasone Propionate,Furonase,Sun Pharmaceutical Industries,Nasal Spray,50mcg/actuation,Fluticasone Propionate (50mcg),Anti-inflammatory nasal spray reducing swelling of nasal mucous membranes.,Perennial allergic rhinitis,Nasal polyp management,1-2 sprays in each nostril daily.,"Unpleasant taste, Headache",Rinse mouth if post-nasal drip occurs.,365,65,8.90E+12,3/19/2029,Flomist Nasal Spray,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbyOdHiXxoVw7S5XeNOnij15XzS5Ynjot3iiWfJIQRgg&s=10,,,,,
6a646c4cedb0bc53fabc84fe,24,Medicines,Spray,Relispray,Pain Relief Aerosol,Relispray,Mupra Laboratories,Topical Spray,Aerosol,Wintergreen Oil + Menthol + Camphor + Cinnamon Oil,Instant pain relief spray utilizing ayurvedic essential oils.,Muscular sprains & cramps,Joint inflammation relief,Spray directly on painful area from 15cm distance.,"Skin redness, Warm sensation",Extremely flammable. Do not spray near open flame.,185,130,8.90E+12,8/25/2026,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhKzC0uIWW5fiuLXTQ8iUYRvhlPsy-xyReioAJoSAFZw&s=10,,,,,
6a646c4cedb0bc53fabc84ff,25,Medicines,Spray,Volini Pain Spray,Diclofenac + Menthol,Volini,Sun Pharmaceutical Industries,Topical Spray,Aerosol 1.16%,Diclofenac Diethylamine (1.16% w/v) + Menthol (5% w/v),Quick penetrating pain relief spray for immediate muscle relaxation.,Acute back pain,Sports impact injuries,Spray onto affected joint 3 times daily.,"Contact dermatitis, Burning sensation",Avoid inhaling spray vapor directly.,210,150,8.90E+12,8/26/1930,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYWcFmsIUsfCeDbSX2AvgjTCV909ZW0rj7RZvb2ROc9A&s,,,,,
6a646c4cedb0bc53fabc8500,26,Medicines,Spray,Cipladine Spray,Povidone-Iodine,Cipladine,Cipla Ltd,Topical Spray,5% w/v,Povidone-Iodine (5% w/v),Antiseptic dry powder spray for touch-free infection prevention on skin cuts.,Minor wound disinfection,Burn wound dressing support,Spray over affected skin surface 1-2 times daily.,"Temporary skin staining, Local irritation",Avoid in thyroid disorder patients without consultation.,130,90,8.90E+12,5/10/2027,Betadine Spray,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMHviqby87jDq-P_8d5jdvD75hXNhJvsyVs1jrAcW2pw&s=10,,,,,
6a646c4cedb0bc53fabc8501,27,Medicines,Spray,Betadine Spray,Povidone-Iodine,Betadine,Win-Medicare Pvt Ltd,Topical Spray,5% w/v,Povidone-Iodine (5% w/v),Broad spectrum microbicidal antiseptic aerosol spray.,Abrasions & lacerations,Post-surgical wound hygiene,Spray on targeted skin region.,Mild localized burning,For external topical application only.,145,80,8.90E+12,6/10/2029,Cipladine Spray,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6etGpNKx0EEg0rf2NjA57WLNdNotxaZteiZZdCabxVQ&s=10,,,,,
6a646c4cedb0bc53fabc8502,28,Medicines,Capsule,Becosules Z,B-Complex + Vitamin C + Zinc,Becosules,Pfizer Ltd,Capsule,Multi-vitamin,Vitamin B-Complex + Vitamin C (150mg) + Zinc Sulphate (41.4mg),Essential multivitamin supplement for metabolic support and immunity.,Mouth ulcers & vitamin B deficiency,Convalescence and tissue repair,1 capsule daily after meal.,"Mild stomach discomfort, Bright yellow urine (harmless)",Do not exceed daily suggested intake.,52,250,8.90E+12,1/19/2028,Cobadex ZS,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsB_qaRQkj-5xQ2LpnDmq8FYrt81vw4sBgRi8RQvxiew&s,,,,,
6a646c4cedb0bc53fabc8503,29,Medicines,Capsule,Cobadex ZS,B-Complex + Vitamin C + Zinc,Cobadex,GlaxoSmithKline,Capsule,Multi-vitamin,Vitamin B-Complex + Vitamin C (150mg) + Zinc Sulphate (41.4mg),Nutritional supplement supporting mucosal healing and energy metabolism.,Stomatitis and glossitis,Immune system enhancement,1 capsule daily with water.,"Nausea, Abdominal cramps",Keep container tightly closed away from moisture.,48,190,8.90E+12,3/29/2027,Becosules Z,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR3fXAe3VRcgDJbEGwO7I71gh--wWD6CchzARDzbMRbA&s=10,,,,,
6a646c4cedb0bc53fabc8504,30,Medicines,Capsule,Omepraz 20,Omeprazole,Omepraz,Sun Pharmaceutical Industries,Capsule,20mg,Omeprazole (20mg),Proton pump inhibitor reducing excessive gastric acid production.,GERD and acid indigestion,Prevention of NSAID-induced ulcers,1 capsule daily before breakfast.,"Headache, Constipation, Gas",Swallow whole; do not chew or crush granules.,60,160,8.90E+12,12/27/2026,Omee,Omez 20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSikTqHolfRsvaQhkcrMbsM2Vse8H_D6e1CUsWCeI5TJQ&s=10,,,,,
6a646c4cedb0bc53fabc8505,31,Medicines,Capsule,Omee,Omeprazole,Omee,Alkem Laboratories,Capsule,20mg,Omeprazole (20mg),Gastro-resistant hard gel capsule for hyperacidity relief.,Heartburn relief,Duodenal ulcer treatment,1 capsule morning on empty stomach.,"Abdominal distress, Dizziness",Long-term use may reduce Vitamin B12 absorption.,55,210,8.90E+12,8/5/2026,Omepraz 20,Omez 20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl36c8EsAazPMS0v834F16bJ3beuq78qJIqL7p9Ny8DA&s=10,,,,,
6a646c4cedb0bc53fabc8506,32,Medicines,Capsule,Omez 20,Omeprazole,Omez,Dr. Reddy's Laboratories,Capsule,20mg,Omeprazole (20mg),Widely trusted antacid capsule for rapid acid neutralization.,Gastric ulcer management,Erosive esophagitis,1 capsule daily half an hour prior to food.,"Flatulence, Mild headache",Inform physician if severe liver conditions exist.,58,300,8.90E+12,6/27/2026,Omepraz 20,Omee,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV3xjURPQr74BWQIZhIorZ7cEohZBFmOGvPdTw5Lp8Rw&s=10,,,,,
6a646c4cedb0bc53fabc8507,33,Medicines,Capsule,Amoxyclav 625 Capsule,Amoxicillin + Clavulanic Acid,Amoxyclav,Abbott India,Capsule,500mg/125mg,Amoxicillin (500mg) + Clavulanic Acid (125mg),Broad-spectrum beta-lactam antibiotic for bacterial infections.,Respiratory tract infections,Urinary tract & soft tissue infections,1 capsule twice daily after food.,"Diarrhea, Loose stools, Vomiting",Complete full course as prescribed. Risk of antibiotic resistance.,200,100,8.90E+12,12/8/2027,Moxikind CV 625,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUZqz-1_QPvihDC11xY9-kUgeaSUc3MkijpaVK_s8pEg&s,,,,,
6a646c4cedb0bc53fabc8508,34,Medicines,Capsule,Moxikind CV 625,Amoxicillin + Clavulanic Acid,Moxikind,Mankind Pharma,Capsule,500mg/125mg,Amoxicillin (500mg) + Clavulanic Acid (125mg),Potent antibiotic formula designed to overcome bacterial enzyme resistance.,"ENT infections (Otitis media, Sinusitis)",Dental alveolar abscess,1 capsule twice daily for 5-7 days.,"Nausea, Skin rash, Dyspepsia",Discontinue if penicillin allergy symptoms occur.,185,120,8.90E+12,7/5/2026,Amoxyclav 625 Capsule,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk23I7l2OfA7j7MvHP1t3idGlSxJg3O0sDUyd_4tdIug&s=10,,,,,
6a646c4cedb0bc53fabc8509,35,Medicines,Capsule,Rabemac DSR,Rabeprazole + Domperidone,Rabemac,Macleods Pharmaceuticals,Capsule,20mg/30mg,Rabeprazole Sodium (20mg) + Domperidone (30mg SR),Sustained release capsule for severe GERD and nausea.,Acid reflux with nausea,Dyspepsia and feeling of fullness,1 capsule morning empty stomach.,"Dry mouth, Dizziness, Diarrhea",Not recommended for children under 12.,140,110,8.90E+12,10/13/2029,Rabeloc RD,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1BkHWbXllpjq3RxF0oLIdHcQYOHgPWhok4LqqLsVJxQ&s=10,,,,,
6a646c4cedb0bc53fabc850a,36,Medicines,Capsule,Rabeloc RD,Rabeprazole + Domperidone,Rabeloc,Cadila Pharmaceuticals,Capsule,20mg/30mg,Rabeprazole Sodium (20mg) + Domperidone (30mg SR),Dual action prokinetic and proton pump inhibitor.,Gastroesophageal reflux management,Heartburn accompanied by vomiting,1 capsule daily before first meal.,"Headache, Asthenia, Dryness of mouth",May cause somnolence; exercise caution when driving.,132,95,8.90E+12,10/23/1930,Rabemac DSR,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVNjPxczq0zL6hrN9HV5i3DwxiaYfv6QCGJptmF5P7kA&s=10,,,,,
6a646c4cedb0bc53fabc850b,37,Medicines,Drops,Ciplox Eye/Ear Drops,Ciprofloxacin,Ciplox,Cipla Ltd,Eye / Ear Drops,0.3% w/v,Ciprofloxacin Hydrochloride (0.3% w/v),Broad-spectrum fluoroquinolone antibiotic drops for ocular and otic infections.,Bacterial conjunctivitis (pink eye),Otitis externa & corneal ulcers,1-2 drops into affected eye/ear every 4 hours.,"Local burning, Local irritation, White precipitate on cornea",Do not touch dropper tip to any surface. For topical use only.,22,220,8.90E+12,12/20/2027,Cifran Eye Drops,Zoxan Eye Drops,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6aqUGRhyA7o0J_CsLf94Rv7dli38cccUihpxNGI7m9Q&s=10,,,,,
6a646c4cedb0bc53fabc850c,38,Medicines,Drops,Cifran Eye Drops,Ciprofloxacin,Cifran,Sun Pharmaceutical Industries,Eye Drops,0.3% w/v,Ciprofloxacin Hydrochloride (0.3% w/v),Antibacterial ophthalmic solution targeting common ocular pathogens.,Superficial eye infections,Blepharitis & keratitis,1-2 drops 3-4 times daily.,"Eye stinging, Foreign body sensation",Discard bottle 1 month after opening.,20,170,8.90E+12,2/19/1930,Ciplox Eye/Ear Drops,Zoxan Eye Drops,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHbJg0gBR0rWvq07HEdLiD-cH2iYLYF80xXQc-QdweXg&s=10,,,,,
6a646c4cedb0bc53fabc850d,39,Medicines,Drops,Zoxan Eye Drops,Ciprofloxacin,Zoxan,FDC Ltd,Eye Drops,0.3% w/v,Ciprofloxacin Hydrochloride (0.3% w/v),Effective anti-infective drops preventing bacterial growth in the eye.,Corneal abrasions infected,Eyelid infections,Instill 1 drop every 2-6 hours.,"Tearing, Light sensitivity",Remove contact lenses before instilling drops.,21,140,8.90E+12,1/23/2027,Ciplox Eye/Ear Drops,Cifran Eye Drops,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5lP1eu2r5Zyry5qw23kHGP9UUhG5PJj5zNgXOTeHd4w&s=10,,,,,
6a646c4cedb0bc53fabc850e,40,Medicines,Drops,Refreshe Liquigel,Carboxymethylcellulose,Refreshe,Allergan India,Eye Drops,1.0% w/v,Carboxymethylcellulose Sodium (1.0% w/v),Lubricating eye drops providing long-lasting relief from dry eye symptoms.,Dry eye syndrome,Eye strain from digital screens,1-2 drops in affected eye(s) as needed.,"Temporary blurred vision, Mild stinging","If irritation persists for >72 hrs, consult ophthalmologist.",210,130,8.90E+12,1/6/2028,Refresh Tears,EcoTears Eye Drops,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKqUKEW5gSJp8YKjBOACe8EbIBeQvozd_zmd6_0P9DNA&s=10,,,,,
6a646c4cedb0bc53fabc850f,41,Medicines,Drops,Refresh Tears,Carboxymethylcellulose,Refresh,Allergan India,Eye Drops,0.5% w/v,Carboxymethylcellulose Sodium (0.5% w/v),Artificial tears artificial tear solution soothing burning and wind irritation.,Eye dryness & irritation,Environmental dust exposure relief,1 drop as needed throughout the day.,Transient mild eye redness,Keep out of reach of children.,180,190,8.90E+12,3/8/1930,Refreshe Liquigel,EcoTears Eye Drops,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWJNCjj39zfw8BDaV6NmE2qAwS6bxyKwZ41r3IGY6iKw&s=10,,,,,
6a646c4cedb0bc53fabc8510,42,Medicines,Drops,EcoTears Eye Drops,Carboxymethylcellulose,EcoTears,Intas Pharmaceuticals,Eye Drops,0.5% w/v,Carboxymethylcellulose Sodium (0.5% w/v),"Soothing tear substitute for dry, irritated, or burning eyes.",Keratoconjunctivitis sicca,Computer vision syndrome,1-2 drops as required.,Visual clouding immediately after use,Do not use if safety seal is broken.,165,150,8.90E+12,12/7/1930,Refreshe Liquigel,Refresh Tears,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlaTSCyQvO0RgwM53LrjmSWMcdwvf6xu2ggskVODS4ng&s,,,,,
